fold,metric,mean,std,model
1,val_loss,0.42640442344924806,1.0942143994282847,resnet18
2,val_loss,0.18323551069401872,0.14426738297401198,resnet18
3,val_loss,0.22625993462699828,0.3170770429784381,resnet18
4,val_loss,0.17731770366402208,0.1232841550604319,resnet18
5,val_loss,0.16733701628506434,0.10947134316459432,resnet18
1,val_loss,0.27661787780071,0.22364520268666346,resnet34
2,val_loss,0.18822448888048493,0.19319934148928042,resnet34
3,val_loss,0.30349585595184986,0.323258820177164,resnet34
4,val_loss,0.2433492646496811,0.34108510738245634,resnet34
5,val_loss,0.18134582731702673,0.16265457350389326,resnet34
1,val_loss,0.1798181528792066,0.1031629579725555,mobilenet v2
2,val_loss,0.17353366791866798,0.12269056332593664,mobilenet v2
3,val_loss,0.24988180999667986,0.48994750833333156,mobilenet v2
4,val_loss,0.1239093236976014,0.09935209909676937,mobilenet v2
5,val_loss,0.14498541287094852,0.12576181605496495,mobilenet v2
1,val_loss,0.529489059798073,0.7484716239965118,mobilenet v3 large
2,val_loss,0.30875823886106474,0.29097221801924883,mobilenet v3 large
3,val_loss,0.307679689243915,0.4046310258281081,mobilenet v3 large
4,val_loss,0.4998799065351341,0.7805374547708304,mobilenet v3 large
5,val_loss,0.6334091164741156,0.7674634824878889,mobilenet v3 large
1,val_loss,180.01819195261018,650.4209094861881,densenet121
2,val_loss,231.46316177655112,916.1298170581681,densenet121
3,val_loss,1516.450651696743,3576.4790871827395,densenet121
4,val_loss,17.188254020081835,45.863036156553086,densenet121
5,val_loss,15.216580967801935,62.73870415227378,densenet121
1,val_loss,1388.3417717520751,5786.002592870526,densenet161
2,val_loss,55.323477579026736,196.7685056247813,densenet161
3,val_loss,1433.33820604711,6152.27438103379,densenet161
4,val_loss,8897.212224091389,46093.68393214229,densenet161
5,val_loss,5807.471236728429,20132.8695291231,densenet161
1,val_loss,0.25311787470728775,0.04795742675726872,resnet18 frozen
2,val_loss,0.23909928946934564,0.04036223766961029,resnet18 frozen
3,val_loss,0.211503203489942,0.04028205638052276,resnet18 frozen
4,val_loss,0.19107062924162094,0.04199177055735117,resnet18 frozen
5,val_loss,0.195510128869064,0.03846183342163443,resnet18 frozen
1,val_loss,0.22601286980154162,0.04630322394602615,resnet34 frozen
2,val_loss,0.19836162902148707,0.04514552707240895,resnet34 frozen
3,val_loss,0.214499793866487,0.038940485796272975,resnet34 frozen
4,val_loss,0.1799954322375583,0.04075806375025255,resnet34 frozen
5,val_loss,0.20785843541648127,0.04933419198849524,resnet34 frozen
1,val_loss,0.3306937879731683,0.14329207581355052,ViT b 16
2,val_loss,0.3276200193046029,0.2061622622699977,ViT b 16
3,val_loss,0.28181832959817255,0.1653976919551584,ViT b 16
4,val_loss,0.5571495073757906,0.23444661234863146,ViT b 16
5,val_loss,0.447527525768866,0.19944294392339734,ViT b 16
